,bus_stop_code,road_name,latitude,longitude,stop_description
4061,72061,Bedok Reservoir Rd,1.3317792275664098,103.9098393917043,Blk 122
4062,72069,Bedok Reservoir Rd,1.33150994155892,103.90977961908514,Blk 121
4063,72071,Bedok Reservoir Rd,1.33219165087886,103.91184110459187,Blk 133
4064,72079,Bedok Reservoir Rd,1.33201510811169,103.91201112281273,Blk 609
4065,72131,Kaki Bt Ave 3,1.33791126455323,103.90994099232344,OPP TECH VIEW
4066,72139,Kaki Bt Ave 3,1.33734376313375,103.90924143080565,TECH VIEW
4067,72141,Kaki Bt Ave 3,1.33860729777301,103.9115018999888,BARTLEY BIZ CTR
4068,72149,Kaki Bt Ave 3,1.33834674682355,103.91170534393187,SHUN LI IND PK
4069,72151,Kaki Bt Ave 6,1.3408478955852101,103.91301810001244,AUTOBAY @ KAKI BT
4070,72159,Kaki Bt Ave 6,1.34043386938271,103.91270758032465,OPP AUTOBAY @ KAKI BT
4071,72161,Kaki Bt Rd 5,1.34114935376337,103.91635549997801,AFT BARTLEY VIADUCT
4072,72169,Kaki Bt Rd 5,1.34108153912707,103.9162627010335,BEF BARTLEY VIADUCT
4073,73019,Airport Rd,1.35196515809661,103.89944085603321,Bef RSAF Roundabout
4074,73021,Tampines Rd,1.3799082481185099,103.91860651287472,LP 223R12
4075,73029,Tampines Rd,1.37988665914102,103.91817387962284,Opp LP 223R10
4076,73031,Tampines Rd,1.3760632970815199,103.920020388391,Bef Tampines Ind Ave 5
4077,73039,Tampines Rd,1.37605781654383,103.91984060925199,Aft Tampines Ind Ave 5
4078,73041,Airport Rd,1.3504991127413202,103.89882183551579,ST Aero
4079,73049,Airport Rd,1.35075966304764,103.89911545547028,Air Force Sch
4080,74011,Tampines Rd,1.37329165833159,103.92045032835672,Aft Tampines Ind Ave 5
4081,74019,Tampines Rd,1.37358500000858,103.92015138898552,Bef Tampines Ind Ave 5
4082,74021,Tampines Rd,1.37042803443167,103.92278161130189,Bef Tampines Ind Ave 4
4083,74029,Tampines Rd,1.3700705233293997,103.92288994719686,Aft Tampines Ind Ave 4
